Player,Pos,Age,Tm,G,MPG,PPA
Kristaps Porziņģis,C,27,WAS,50,32.5,146
Monte Morris,PG,27,WAS,50,28.1,137
Daniel Gafford,C,24,WAS,56,18.7,129
Delon Wright,PG,30,WAS,29,22.5,120
Kyle Kuzma,PF,27,WAS,53,34.9,103
Jordan Goodwin,PG,24,WAS,40,18.1,97
Kendrick Nunn,SG,27,WAS,11,18.4,96
Corey Kispert,SG,23,WAS,50,27.2,91
Deni Avdija,SF,22,WAS,56,26.3,81
Rui Hachimura,PF,24,WAS,30,24.3,74
Anthony Gill,PF,30,WAS,41,10,65
Will Barton,SF,32,WAS,40,19.6,55
Taj Gibson,C,37,WAS,36,9.8,45
